mgi_symbol	mgi_description	ensembl_gene_id
Gm37814	predicted gene, 37814	ENSMUSG00000102816
Gm6185	predicted gene 6185	ENSMUSG00000102817
Gm37796	predicted gene, 37796	ENSMUSG00000102818
Gm37817	predicted gene, 37817	ENSMUSG00000102819
Gm38353	predicted gene, 38353	ENSMUSG00000102820
Trbv8	T cell receptor beta variable 8	ENSMUSG00000102821
1700113B19Rik	RIKEN cDNA 1700113B19 gene	ENSMUSG00000102822
Pdcd5-ps; ; Gm37810; Gm3837	programmed cell death 5, pseudogene	ENSMUSG00000102824
Gm36990	predicted gene, 36990	ENSMUSG00000102825
Gm38181	predicted gene, 38181	ENSMUSG00000102826
Gm8242	predicted gene 8242	ENSMUSG00000102827
Gm38182	predicted gene, 38182	ENSMUSG00000102828
Gm37012	predicted gene, 37012	ENSMUSG00000102830
Gm37382	predicted gene, 37382	ENSMUSG00000102831
Gm5190	predicted gene 5190	ENSMUSG00000102832
Gm9694	predicted gene 9694	ENSMUSG00000102833
1700029B24Rik; ; Gm37384	RIKEN cDNA 1700029B24 gene	ENSMUSG00000102834
Gm37572	predicted gene, 37572	ENSMUSG00000102835
Gm37013	predicted gene, 37013	ENSMUSG00000102836
Gm37383	predicted gene, 37383	ENSMUSG00000102837
Gm37014	predicted gene, 37014	ENSMUSG00000102838
Gm37385	predicted gene, 37385	ENSMUSG00000102839
Gm38037	predicted gene, 38037	ENSMUSG00000102840
Gm38036	predicted gene, 38036	ENSMUSG00000102841
Gm38035	predicted gene, 38035	ENSMUSG00000102842
Gm38034	predicted gene, 38034	ENSMUSG00000102844
Gm38033	predicted gene, 38033	ENSMUSG00000102845
Gm10292	predicted gene 10292	ENSMUSG00000102846
Gm34274	predicted gene, 34274	ENSMUSG00000102847
Ighv5-7; ; Gm10314	immunoglobulin heavy variable V5-7	ENSMUSG00000102848
Gm37658	predicted gene, 37658	ENSMUSG00000102849
Gm37082	predicted gene, 37082	ENSMUSG00000102850
Gm18956	predicted gene, 18956	ENSMUSG00000102851
Gm37083	predicted gene, 37083	ENSMUSG00000102852
Gm7270	predicted gene 7270	ENSMUSG00000102853
C130023A14Rik	RIKEN cDNA C130023A14 gene	ENSMUSG00000102854
Gm38002	predicted gene, 38002	ENSMUSG00000102855
Gm37084	predicted gene, 37084	ENSMUSG00000102856
Gm37085	predicted gene, 37085	ENSMUSG00000102857
Gm37086	predicted gene, 37086	ENSMUSG00000102858
Gm8625	predicted gene 8625	ENSMUSG00000102859
Gm37638	predicted gene, 37638	ENSMUSG00000102860
Gm37637	predicted gene, 37637	ENSMUSG00000102861
Gm37640	predicted gene, 37640	ENSMUSG00000102862
Gm37639	predicted gene, 37639	ENSMUSG00000102863
Gm37634	predicted gene, 37634	ENSMUSG00000102864
Gm9839	predicted gene 9839	ENSMUSG00000102865
Gm37636	predicted gene, 37636	ENSMUSG00000102866
Gm37635	predicted gene, 37635	ENSMUSG00000102867
Gm37633	predicted gene, 37633	ENSMUSG00000102868
2900097C17Rik	RIKEN cDNA 2900097C17 gene	ENSMUSG00000102869
Gm17868	predicted gene, 17868	ENSMUSG00000102870
Gm37143	predicted gene, 37143	ENSMUSG00000102871
Gm38195	predicted gene, 38195	ENSMUSG00000102872
Gm37137	predicted gene, 37137	ENSMUSG00000102874
Gm37139	predicted gene, 37139	ENSMUSG00000102875
Gm37136	predicted gene, 37136	ENSMUSG00000102876
Gm38314	predicted gene, 38314	ENSMUSG00000102877
Ighv2-8	immunoglobulin heavy variable V2-8	ENSMUSG00000102878
Gm37135	predicted gene, 37135	ENSMUSG00000102879
4930517J16Rik	RIKEN cDNA 4930517J16 gene	ENSMUSG00000102880
Gm3807	predicted gene 3807	ENSMUSG00000102881
Gm2065	predicted gene 2065	ENSMUSG00000102882
Gm37279	predicted gene, 37279	ENSMUSG00000102883
Gm37281	predicted gene, 37281	ENSMUSG00000102884
Gm37280	predicted gene, 37280	ENSMUSG00000102885
Gm30667	predicted gene, 30667	ENSMUSG00000102886
Gm10857	predicted gene 10857	ENSMUSG00000102887
Ighv1-11	immunoglobulin heavy variable V1-11	ENSMUSG00000102888
Gm37282	predicted gene, 37282	ENSMUSG00000102889
Gm7626	predicted gene 7626	ENSMUSG00000102890
Gm19114	predicted gene, 19114	ENSMUSG00000102891
Gm37854	predicted gene, 37854	ENSMUSG00000102892
Gm37855	predicted gene, 37855	ENSMUSG00000102893
Gm37851	predicted gene, 37851	ENSMUSG00000102894
5830415G21Rik	RIKEN cDNA 5830415G21 gene	ENSMUSG00000102895
Gm37852	predicted gene, 37852	ENSMUSG00000102896
Gm37853	predicted gene, 37853	ENSMUSG00000102897
Gm37850	predicted gene, 37850	ENSMUSG00000102899
Gm37811	predicted gene, 37811	ENSMUSG00000102900
Ighv5-1	immunoglobulin heavy variable V5-1	ENSMUSG00000102901
Gm38263	predicted gene, 38263	ENSMUSG00000102902
Trbv11	T cell receptor beta variable 11	ENSMUSG00000102903
Gm38265	predicted gene, 38265	ENSMUSG00000102904
Gm38266	predicted gene, 38266	ENSMUSG00000102905
Gm20858	predicted gene, 20858	ENSMUSG00000102906
Gm38264	predicted gene, 38264	ENSMUSG00000102907
Gm7558	predicted gene 7558	ENSMUSG00000102908
Gm2453	predicted gene 2453	ENSMUSG00000102909
Gm37722	predicted gene, 37722	ENSMUSG00000102910
Gm38017	predicted gene, 38017	ENSMUSG00000102911
Gm20731	predicted gene, 20731	ENSMUSG00000102912
Gm37723	predicted gene, 37723	ENSMUSG00000102913
Gm35106	predicted gene, 35106	ENSMUSG00000102914
Gm32460	predicted gene, 32460	ENSMUSG00000102915
Gm37725	predicted gene, 37725	ENSMUSG00000102916
Gm37724	predicted gene, 37724	ENSMUSG00000102917
Pcdhgc3; PC43; Pcdh2	protocadherin gamma subfamily C, 3	ENSMUSG00000102918
Gm37726	predicted gene, 37726	ENSMUSG00000102919
Olfr416-ps1; ; GA_x6K02T2P20D-20781402-20780484; Gm5032	olfactory receptor 416, pseudogene 1	ENSMUSG00000102920
Gm37153	predicted gene, 37153	ENSMUSG00000102921
Gm34176	predicted gene, 34176	ENSMUSG00000102922
Gm31728	predicted gene, 31728	ENSMUSG00000102923
Gm37150	predicted gene, 37150	ENSMUSG00000102925
Gm37151	predicted gene, 37151	ENSMUSG00000102926
Gm37152	predicted gene, 37152	ENSMUSG00000102927
Ighv1-46	immunoglobulin heavy variable V1-46	ENSMUSG00000102928
Gm37154	predicted gene, 37154	ENSMUSG00000102929
Gm38115	predicted gene, 38115	ENSMUSG00000102930
Gm38114	predicted gene, 38114	ENSMUSG00000102931
Gm38113	predicted gene, 38113	ENSMUSG00000102932
Gm9116	predicted gene 9116	ENSMUSG00000102933
Gm38117	predicted gene, 38117	ENSMUSG00000102934
Gm38355	predicted gene, 38355	ENSMUSG00000102935
Gm35584	predicted gene, 35584	ENSMUSG00000102936
Gm38116	predicted gene, 38116	ENSMUSG00000102937
Gm38111	predicted gene, 38111	ENSMUSG00000102939
Gm37551	predicted gene, 37551	ENSMUSG00000102940
Gm37552	predicted gene, 37552	ENSMUSG00000102941
Ighv1-33; ; Gm16693	immunoglobulin heavy variable 1-33	ENSMUSG00000102942
Gm37550	predicted gene, 37550	ENSMUSG00000102943
Gm37884	predicted gene, 37884	ENSMUSG00000102945
Gm37883	predicted gene, 37883	ENSMUSG00000102946
Gm6101	predicted gene 6101	ENSMUSG00000102948
Gm37882	predicted gene, 37882	ENSMUSG00000102949
Gm37018	predicted gene, 37018	ENSMUSG00000102950
Gm37216	predicted gene, 37216	ENSMUSG00000102951
Ighv1-25; ; Gm7296	immunoglobulin heavy variable 1-25	ENSMUSG00000102952
Gm37019	predicted gene, 37019	ENSMUSG00000102953
Trbv24; ; Tcrb-V17; Tcrb-V3.2	T cell receptor beta, variable 24	ENSMUSG00000102955
Gm37017	predicted gene, 37017	ENSMUSG00000102956
Gm21065	predicted gene, 21065	ENSMUSG00000102957
Gm37016	predicted gene, 37016	ENSMUSG00000102958
Gm37015	predicted gene, 37015	ENSMUSG00000102959
Gm37943	predicted gene, 37943	ENSMUSG00000102960
Gm19918	predicted gene, 19918	ENSMUSG00000102961
Gm37944	predicted gene, 37944	ENSMUSG00000102962
Gm37945	predicted gene, 37945	ENSMUSG00000102963
9430034N14Rik	RIKEN cDNA 9430034N14 gene	ENSMUSG00000102964
Gm20926	predicted gene, 20926	ENSMUSG00000102965
Gm31123	predicted gene, 31123	ENSMUSG00000102966
Gm37946	predicted gene, 37946	ENSMUSG00000102967
Gm35070	predicted gene, 35070	ENSMUSG00000102968
Gm33366	predicted gene, 33366	ENSMUSG00000102969
Gm37349	predicted gene, 37349	ENSMUSG00000102970
A730062M13Rik	RIKEN cDNA A730062M13 gene	ENSMUSG00000102971
Gm37348	predicted gene, 37348	ENSMUSG00000102972
E430014B02Rik	RIKEN cDNA E430014B02 gene	ENSMUSG00000102973
Gm37347	predicted gene, 37347	ENSMUSG00000102975
Zc3h11a; 1110003F06Rik; 5730454B08Rik; G630041M05Rik	zinc finger CCCH type containing 11A	ENSMUSG00000102976
Gm37346	predicted gene, 37346	ENSMUSG00000102977
Gm37350	predicted gene, 37350	ENSMUSG00000102979
Gm38321	predicted gene, 38321	ENSMUSG00000102980
Gm38322	predicted gene, 38322	ENSMUSG00000102981
Gm38319	predicted gene, 38319	ENSMUSG00000102982
Gm38320	predicted gene, 38320	ENSMUSG00000102983
Gm34727	predicted gene, 34727	ENSMUSG00000102984
4930456G14Rik	RIKEN cDNA 4930456G14 gene	ENSMUSG00000102985
Gm38323	predicted gene, 38323	ENSMUSG00000102986
Gm38324	predicted gene, 38324	ENSMUSG00000102987
Trbv22	T cell receptor beta variable 22	ENSMUSG00000102988
Gm38318	predicted gene, 38318	ENSMUSG00000102989
Gm37764	predicted gene, 37764	ENSMUSG00000102990
Ighv1-40	immunoglobulin heavy variable V1-40	ENSMUSG00000102991
Gm37766	predicted gene, 37766	ENSMUSG00000102992
Gm37765	predicted gene, 37765	ENSMUSG00000102993
Gm37767	predicted gene, 37767	ENSMUSG00000102994
A330074H02Rik	RIKEN cDNA A330074H02 gene	ENSMUSG00000102995
Gm17244	predicted gene, 17244	ENSMUSG00000102997
Gm37763	predicted gene, 37763	ENSMUSG00000102998
Gm37762	predicted gene, 37762	ENSMUSG00000102999
Gm37900	predicted gene, 37900	ENSMUSG00000103000
A930005N03Rik	RIKEN cDNA A930005N03 gene	ENSMUSG00000103001
Gm38075	predicted gene, 38075	ENSMUSG00000103002
Gm38076	predicted gene, 38076	ENSMUSG00000103003
2900002M20Rik	RIKEN cDNA 2900002M20 gene	ENSMUSG00000103004
Gm37898	predicted gene, 37898	ENSMUSG00000103005
4933417C20Rik	RIKEN cDNA 4933417C20 gene	ENSMUSG00000103006
Gm20690	predicted gene 20690	ENSMUSG00000103007
Gm36468	predicted gene, 36468	ENSMUSG00000103008
Gm4430	predicted gene 4430	ENSMUSG00000103009
Gm37504	predicted gene, 37504	ENSMUSG00000103010
Gm8860	predicted gene 8860	ENSMUSG00000103011
Gm37548	predicted gene, 37548	ENSMUSG00000103012
Gm37503	predicted gene, 37503	ENSMUSG00000103013
Gm37549	predicted gene, 37549	ENSMUSG00000103015
Gm37506	predicted gene, 37506	ENSMUSG00000103016
Gm37505	predicted gene, 37505	ENSMUSG00000103017
Gm17968	predicted gene, 17968	ENSMUSG00000103018
Gm37681	predicted gene, 37681	ENSMUSG00000103020
Gm37682	predicted gene, 37682	ENSMUSG00000103021
Gm20910	predicted gene, 20910	ENSMUSG00000103023
Gm37685	predicted gene, 37685	ENSMUSG00000103024
Gm37686	predicted gene, 37686	ENSMUSG00000103025
Gm31326; ; Gm37683	predicted gene, 31326	ENSMUSG00000103026
Gm37684	predicted gene, 37684	ENSMUSG00000103027
Gm8747	predicted gene 8747	ENSMUSG00000103028
Gm37687	predicted gene, 37687	ENSMUSG00000103029
E330011M16Rik	RIKEN cDNA E330011M16 gene	ENSMUSG00000103030
Gm29950	predicted gene, 29950	ENSMUSG00000103031
Gm37121	predicted gene, 37121	ENSMUSG00000103032
Ighv5-12-4	immunoglobulin heavy variable 5-12-4	ENSMUSG00000103033
Gm8797	predicted pseudogene 8797	ENSMUSG00000103034
Gm37122	predicted gene, 37122	ENSMUSG00000103035
Pcdhgb1	protocadherin gamma subfamily B, 1	ENSMUSG00000103037
Gm37124	predicted gene, 37124	ENSMUSG00000103038
Gm37123	predicted gene, 37123	ENSMUSG00000103039
Gm37305	predicted gene, 37305	ENSMUSG00000103041
Gm2719	predicted pseudogene 2719	ENSMUSG00000103042
Gm37306	predicted gene, 37306	ENSMUSG00000103043
Gm37307	predicted gene, 37307	ENSMUSG00000103044
Gm37308	predicted gene, 37308	ENSMUSG00000103045
Gm37309	predicted gene, 37309	ENSMUSG00000103046
Gm37310	predicted gene, 37310	ENSMUSG00000103047
Gm37311	predicted gene, 37311	ENSMUSG00000103049
Gm38273	predicted gene, 38273	ENSMUSG00000103050
Gm7871	predicted gene 7871	ENSMUSG00000103051
Gm38272	predicted gene, 38272	ENSMUSG00000103052
Gm38271	predicted gene, 38271	ENSMUSG00000103053
Gm38270	predicted gene, 38270	ENSMUSG00000103054
Gm38269	predicted gene, 38269	ENSMUSG00000103055
Gm38268	predicted gene, 38268	ENSMUSG00000103056
Gm21845	predicted gene, 21845	ENSMUSG00000103058
Gm18186	predicted gene, 18186	ENSMUSG00000103059
Gm36969	predicted gene, 36969	ENSMUSG00000103060
Gm36970	predicted gene, 36970	ENSMUSG00000103061
Gm37200	predicted gene, 37200	ENSMUSG00000103062
Gm33163	predicted gene, 33163	ENSMUSG00000103063
Gm36968	predicted gene, 36968	ENSMUSG00000103064
Gm20236	predicted gene, 20236	ENSMUSG00000103065
Gm36967	predicted gene, 36967	ENSMUSG00000103066
Gm30414	predicted gene, 30414	ENSMUSG00000103067
Gm36966	predicted gene, 36966	ENSMUSG00000103069
Gm37903	predicted gene, 37903	ENSMUSG00000103070
Gm38110	predicted gene, 38110	ENSMUSG00000103071
Gm37905	predicted gene, 37905	ENSMUSG00000103072
Gm37904	predicted gene, 37904	ENSMUSG00000103073
Gm20925	predicted gene, 20925	ENSMUSG00000103074
Gm38109	predicted gene, 38109	ENSMUSG00000103075
Gm37902	predicted gene, 37902	ENSMUSG00000103076
Gm38371	predicted gene, 38371	ENSMUSG00000103077
Gm37901	predicted gene, 37901	ENSMUSG00000103078
Gm36307	predicted gene, 36307	ENSMUSG00000103079
Gm38123	predicted gene, 38123	ENSMUSG00000103080
Pcdhgb8	protocadherin gamma subfamily B, 8	ENSMUSG00000103081
Gm38124	predicted gene, 38124	ENSMUSG00000103082
A630035G10Rik	RIKEN cDNA A630035G10 gene	ENSMUSG00000103083
Gm38119	predicted gene, 38119	ENSMUSG00000103084
Gm38120	predicted gene, 38120	ENSMUSG00000103085
Gm38121	predicted gene, 38121	ENSMUSG00000103086
Gm38122	predicted gene, 38122	ENSMUSG00000103087
Pcdhgb6	protocadherin gamma subfamily B, 6	ENSMUSG00000103088
Gm38118	predicted gene, 38118	ENSMUSG00000103089
Gm19214	predicted gene, 19214	ENSMUSG00000103090
Gm37555	predicted gene, 37555	ENSMUSG00000103091
Pcdha5; Cnr6; Crnr6	protocadherin alpha 5	ENSMUSG00000103092
Gm37558	predicted gene, 37558	ENSMUSG00000103094
Gm37557	predicted gene, 37557	ENSMUSG00000103095
Gm8022	predicted gene 8022	ENSMUSG00000103096
Gm37556	predicted gene, 37556	ENSMUSG00000103097
Gm37559	predicted gene, 37559	ENSMUSG00000103098
Gm6074	predicted gene 6074	ENSMUSG00000103099
Gm37664	predicted gene, 37664	ENSMUSG00000103100
Gm37048	predicted gene, 37048	ENSMUSG00000103101
Gm37049	predicted gene, 37049	ENSMUSG00000103102
4833445I07Rik	RIKEN cDNA 4833445I07 gene	ENSMUSG00000103103
Gm18752	predicted gene, 18752	ENSMUSG00000103105
Gm37047	predicted gene, 37047	ENSMUSG00000103106
Gm9867	predicted gene 9867	ENSMUSG00000103107
Rncr4; ; Gm37046	retina expressed non-coding RNA 4	ENSMUSG00000103108
Gm37586	predicted gene, 37586	ENSMUSG00000103110
Ighv6-1	immunoglobulin heavy variable V6-1	ENSMUSG00000103111
Gm38016	predicted gene, 38016	ENSMUSG00000103112
Gm37585	predicted gene, 37585	ENSMUSG00000103113
Gm32200	predicted gene, 32200	ENSMUSG00000103114
Gm37584	predicted gene, 37584	ENSMUSG00000103115
4930539M17Rik	RIKEN cDNA 4930539M17 gene	ENSMUSG00000103116
Gm37582	predicted gene, 37582	ENSMUSG00000103118
Gm37583	predicted gene, 37583	ENSMUSG00000103119
Gm37392	predicted gene, 37392	ENSMUSG00000103120
Ighv15-1	immunoglobulin heavy variable V15-1	ENSMUSG00000103121
Gm37391	predicted gene, 37391	ENSMUSG00000103122
Gm37390	predicted gene, 37390	ENSMUSG00000103123
Gm37389	predicted gene, 37389	ENSMUSG00000103124
Gm37388	predicted gene, 37388	ENSMUSG00000103125
Gm37386	predicted gene, 37386	ENSMUSG00000103127
Gm37393	predicted gene, 37393	ENSMUSG00000103129
F830212C03Rik	RIKEN cDNA F830212C03 gene	ENSMUSG00000103130
Gm37977	predicted gene, 37977	ENSMUSG00000103131
Gm37978	predicted gene, 37978	ENSMUSG00000103132
Gm37303	predicted gene, 37303	ENSMUSG00000103133
Gm37979	predicted gene, 37979	ENSMUSG00000103135
Gm37980	predicted gene, 37980	ENSMUSG00000103136
Gm37981	predicted gene, 37981	ENSMUSG00000103137
Gm2238	predicted gene 2238	ENSMUSG00000103138
Gm37982	predicted gene, 37982	ENSMUSG00000103139
Gm37495	predicted gene, 37495	ENSMUSG00000103140
Gm37741	predicted gene, 37741	ENSMUSG00000103141
Gm37743	predicted gene, 37743	ENSMUSG00000103142
Gm37742	predicted gene, 37742	ENSMUSG00000103143
Pcdhga1	protocadherin gamma subfamily A, 1	ENSMUSG00000103144
Gm37744	predicted gene, 37744	ENSMUSG00000103145
Gm37745	predicted gene, 37745	ENSMUSG00000103146
Gm7341	predicted gene 7341	ENSMUSG00000103147
Gm37746	predicted gene, 37746	ENSMUSG00000103148
AA914427	EST AA914427	ENSMUSG00000103149
Gm38291	predicted gene, 38291	ENSMUSG00000103150
Gm38292	predicted gene, 38292	ENSMUSG00000103151
Gm8790	predicted gene 8790	ENSMUSG00000103152
Gm38290	predicted gene, 38290	ENSMUSG00000103153
Gm38295	predicted gene, 38295	ENSMUSG00000103154
Gm8109	predicted gene 8109	ENSMUSG00000103155
Gm38293	predicted gene, 38293	ENSMUSG00000103156
Gm38294	predicted gene, 38294	ENSMUSG00000103157
Gm31925	predicted gene, 31925	ENSMUSG00000103158
F830112A20Rik	RIKEN cDNA F830112A20 gene	ENSMUSG00000103159
C130012C08Rik	RIKEN cDNA C130012C08 gene	ENSMUSG00000103160
Gm38148	predicted gene, 38148	ENSMUSG00000103161
Gm38147	predicted gene, 38147	ENSMUSG00000103162
Gm38146	predicted gene, 38146	ENSMUSG00000103163
Gm38150	predicted gene, 38150	ENSMUSG00000103164
Gm37560	predicted gene, 37560	ENSMUSG00000103165
Gm10537	predicted gene 10537	ENSMUSG00000103166
Gm38149	predicted gene, 38149	ENSMUSG00000103167
Gm30948	predicted gene, 30948	ENSMUSG00000103168
Gm37170	predicted gene, 37170	ENSMUSG00000103170
Gm37148	predicted gene, 37148	ENSMUSG00000103172
Gm37168	predicted gene, 37168	ENSMUSG00000103174
Gm37169	predicted gene, 37169	ENSMUSG00000103175
Gm37147	predicted gene, 37147	ENSMUSG00000103176
Gm18427	predicted gene, 18427	ENSMUSG00000103177
Fgfr3-ps	fibroblast growth factor receptor 3, pseudogene	ENSMUSG00000103178
Gm37171	predicted gene, 37171	ENSMUSG00000103179
Gm37089	predicted gene, 37089	ENSMUSG00000103180
A330069K06Rik	RIKEN cDNA A330069K06 gene	ENSMUSG00000103181
Gm37091	predicted gene, 37091	ENSMUSG00000103182
Gm37090	predicted gene, 37090	ENSMUSG00000103183
Ighv5-13	immunoglobulin heavy variable V5-13	ENSMUSG00000103184
Ighv5-11	immunoglobulin heavy variable V5-11	ENSMUSG00000103185
Gm37088	predicted gene, 37088	ENSMUSG00000103186
Gm37087	predicted gene, 37087	ENSMUSG00000103187
Gm37093	predicted gene, 37093	ENSMUSG00000103188
Gm37092	predicted gene, 37092	ENSMUSG00000103189
Gm34716	predicted gene, 34716	ENSMUSG00000103190
Gm37646	predicted gene, 37646	ENSMUSG00000103191
Gm37645	predicted gene, 37645	ENSMUSG00000103192
Gm19066	predicted gene, 19066	ENSMUSG00000103193
Gm37643	predicted gene, 37643	ENSMUSG00000103194
Gm37644	predicted gene, 37644	ENSMUSG00000103195
Gm37641	predicted gene, 37641	ENSMUSG00000103196
Gm37642	predicted gene, 37642	ENSMUSG00000103197
Gm9136	predicted gene 9136	ENSMUSG00000103198
Gm37648	predicted gene, 37648	ENSMUSG00000103199
Gm37328	predicted gene, 37328	ENSMUSG00000103200
Gm37329	predicted gene, 37329	ENSMUSG00000103201
Gm37326	predicted gene, 37326	ENSMUSG00000103202
Gm37327	predicted gene, 37327	ENSMUSG00000103203
Gm38139	predicted gene, 38139	ENSMUSG00000103204
Gm8515	predicted gene 8515	ENSMUSG00000103206
Gm9874	predicted gene 9874	ENSMUSG00000103207
Gm37330	predicted gene, 37330	ENSMUSG00000103208
Gm37331	predicted gene, 37331	ENSMUSG00000103209
Gm5852	predicted gene 5852	ENSMUSG00000103210
Gm38288	predicted gene, 38288	ENSMUSG00000103211
Gm38289	predicted gene, 38289	ENSMUSG00000103213
Gm38286	predicted gene, 38286	ENSMUSG00000103214
Gm38388	predicted gene, 38388	ENSMUSG00000103215
Gm37248	predicted gene, 37248	ENSMUSG00000103216
Gm38287	predicted gene, 38287	ENSMUSG00000103217
Gm7270	predicted gene 7270	ENSMUSG00000103218
Gm37787	predicted gene, 37787	ENSMUSG00000103219
Gm37728	predicted gene, 37728	ENSMUSG00000103220
Sprr2c-ps; ; Sprr2c	small proline-rich protein 2C, pseudogene	ENSMUSG00000103221
Gm37729	predicted gene, 37729	ENSMUSG00000103222
Gm37730	predicted gene, 37730	ENSMUSG00000103223
Gm2077	predicted gene 2077	ENSMUSG00000103224
Gm37731	predicted gene, 37731	ENSMUSG00000103225
Gm37732	predicted gene, 37732	ENSMUSG00000103226
Gm37733	predicted gene, 37733	ENSMUSG00000103227
Gm37727	predicted gene, 37727	ENSMUSG00000103228
Gm17970	predicted gene, 17970	ENSMUSG00000103230
Gm21907	predicted gene, 21907	ENSMUSG00000103231
Gm37160	predicted gene, 37160	ENSMUSG00000103232
Gm37159	predicted gene, 37159	ENSMUSG00000103233
Gm37158	predicted gene, 37158	ENSMUSG00000103234
Gm37157	predicted gene, 37157	ENSMUSG00000103236
Gm18547	predicted gene, 18547	ENSMUSG00000103237
Gm36527; ; Gm37156	predicted gene, 36527	ENSMUSG00000103238
Gm37155	predicted gene, 37155	ENSMUSG00000103239
Gm37976	predicted gene, 37976	ENSMUSG00000103240
Gm38089	predicted gene, 38089	ENSMUSG00000103241
Gm34767	predicted gene, 34767	ENSMUSG00000103242
Lce1d; 2310037L11Rik; Sprrl7	late cornified envelope 1D	ENSMUSG00000103243
Gm38092	predicted gene, 38092	ENSMUSG00000103244
Gm2071	predicted gene 2071	ENSMUSG00000103245
Gm38090	predicted gene, 38090	ENSMUSG00000103246
Gm38091	predicted gene, 38091	ENSMUSG00000103247
Gm38087	predicted gene, 38087	ENSMUSG00000103248
Gm38088	predicted gene, 38088	ENSMUSG00000103249
Gm32180	predicted gene, 32180	ENSMUSG00000103250
Gm37519	predicted gene, 37519	ENSMUSG00000103251
Gm37521	predicted gene, 37521	ENSMUSG00000103252
Gm37520	predicted gene, 37520	ENSMUSG00000103253
Ighv1-15; ; Gm16858	immunoglobulin heavy variable 1-15	ENSMUSG00000103254
Pcdhac1; CNRc1	protocadherin alpha subfamily C, 1	ENSMUSG00000103255
Gm37647	predicted gene, 37647	ENSMUSG00000103256
Gm7977	predicted gene 7977	ENSMUSG00000103257
Gm37518	predicted gene, 37518	ENSMUSG00000103258
2610105M22Rik	RIKEN cDNA 2610105M22 gene	ENSMUSG00000103259
Gm8146	predicted gene 8146	ENSMUSG00000103260
Gm36981	predicted gene, 36981	ENSMUSG00000103261
Ighv5-8; ; Gm17309	immunoglobulin heavy variable V5-8	ENSMUSG00000103262
Gm36982	predicted gene, 36982	ENSMUSG00000103263
Gm30341	predicted gene, 30341	ENSMUSG00000103264
